transaction_id,status,message
e1391fa4-d193-4223-85ad-88ba170b0093,APPROVED,OK
30eccc21-2cb4-4e5c-ac7d-8795972389d7,DECLINED,This account has not done initial money deposit in order to withdraw!
5c96f27e-256a-4e2f-a4dc-ef4dbac4c617,APPROVED,OK
738713e9-9db3-4cd2-aa92-ca89396d12fb,APPROVED,OK
a97e4b24-b892-4897-aaa9-af83b5793285,DECLINED,Can't withdraw (214.64) more or less than the set limits!
aad58804-4092-4384-bf30-b0ff3d11c546,DECLINED,This account has not done initial money deposit in order to withdraw!
eb2d9a88-ef8c-4f3a-9a70-88876f6ef8e1,DECLINED,Can't deposit (255.31) more or less than the set limits!
8c14a161-70ee-4217-a5d9-82e19c48c238,DECLINED,Can't deposit (242.02) more or less than the set limits!
e5962c6a-7c5d-4432-8706-4dfe23211ae7,DECLINED,This account has not done initial money deposit in order to withdraw!
04c03870-8cce-4735-b265-fff1022da0aa,APPROVED,OK
25571b83-5f46-4bc8-bd5c-1472c33118e4,APPROVED,OK
47b2de28-2646-4442-8fd8-bc4fb9ca21a6,APPROVED,OK
f8018da4-21f9-4fa3-93c0-399ef22b7a2d,DECLINED,This account has not done initial money deposit in order to withdraw!
989ce606-0a39-4292-96f3-fd4997c7227e,APPROVED,OK
43f839b3-8a20-432a-ada6-96659e146dfd,APPROVED,OK
f187a804-6f79-479d-8490-2b2f7bea96a4,DECLINED,Only allowed DC but used is CC!
aa6f4ed3-2923-4b25-8fd8-ab2f8701ac7e,DECLINED,Can't deposit (48.1) more or less than the set limits!
ab0fa7df-d2d0-4053-9556-bcfe1b0c5afa,DECLINED,Can't withdraw (211.21) more or less than the set limits!
06830482-a462-4638-9923-5642473c5d43,DECLINED,Only allowed DC but used is CC!
2a30caad-b8a3-4691-bacc-acab84a7440e,APPROVED,OK
2de244b8-ecca-4363-b5bf-bae0b090a784,APPROVED,OK
e9ca4323-9104-4c9c-a144-a159b9e04f4a,DECLINED,This account has not done initial money deposit in order to withdraw!
15e9f322-e444-4e8f-b118-74a918e9d2c4,DECLINED,Only allowed DC but used is CC!
949105b6-6da8-4ff2-83ec-b543ae740bb2,DECLINED,This account has not done initial money deposit in order to withdraw!
